"January 14, 2020",Excelente,A mis hijos les encanta y a mi también!!!,5.0,positive
"January 14, 2020",Everyone love,We all love this ...my daughter can take it on the road to play but we can also hook it up to the TV so we can all play....great gift definitely worth the price,5.0,positive
"January 14, 2020",it's a Nintendo Switch,it's a Nintendo Switch,5.0,positive
"January 14, 2020",Good fun,Huge hit with the family,5.0,positive
"January 14, 2020",Nice system!!!,My son loves it. Me and my husband also enjoy playing this system.,5.0,positive
"January 14, 2020",Great,Works great and didn’t have any issues,5.0,positive
"January 14, 2020",Flawless purchase,Flawless purchase,5.0,positive
"January 13, 2020",After 10 years the Wii has retired,"Wow, Nintendo has again leapfrogged the market, hit a niche like the Wii.We bought the Wii for the kids (and the parents) 10 years ago.  Other than replacing some game discs that stopped working due to overuse the Wii has been the best buy ever.I believe we have the same winner with the Nintendo Switch.  Not only do we have all that we had in the Wii, but we have mobility, versatility and more importantly we have a store and digital content that is buy once and own forever.",5.0,positive
"January 13, 2020",💙💙💙,💙,5.0,positive
"January 13, 2020",GOOD SYSTEM,I HAVE ALL THE SYSTEMS AND THIS ONE IS REALLY NICE AND GIVE YOU MORE OPTIONS WITH BEING ABLE TO TRAVEL WITH IT.,5.0,positive
"January 13, 2020",Switch,It's good,5.0,positive
"January 13, 2020",Works great,Too spendy,5.0,positive
"January 13, 2020",It's Nintendo's newest generation console - you know what this is.,"I'm mainly going to list off the pros for this unit, something I like that they did on this generation compared to the other consoles by Nintendo and some gripes.Portability obviously with its docking capabilities - very good move.  The way the Switch locates itself within the dock is a cool party trick.  I like not having to have a rucksack full of gear just to bring my system with.The Joy-Con controllers are passable and you can actually play 2P games with each one.  I do wish they offered a Pro-controller bundled version.The setup of the system is easy, you don't have to fill out another mortgage worth of EULAs to play.For pennies you get a slew of NES and SNES games through Nintendo Online.Mario Maker 2 is pretty fun and I wished more games had BYO levels like it(cue the wave of gamers that will correct me on 20+ games that have their own world-building options. I'm 43 and don't have time for games like I did in my teens.  Let me dip my filthy casual toe back in the game pool now that my kids are grown.)",4.0,positive
"January 13, 2020",Loved it!,This was a Christmas present for our 6 year old. He has loved it!,5.0,positive
"January 13, 2020",Great product,GREAT PRODUCT. (I love Link.),5.0,positive
"January 13, 2020",Muy bueno,Excelente.,5.0,positive
"January 13, 2020",Fast shipping,Shipping time was outstanding and as described,5.0,positive
"January 13, 2020",Joycon,The right joy cons vibration isn’t equal to the left and the left joy con acts up sometimes but it’s barely noticeable,4.0,positive
"January 13, 2020",You get what you pay for: excellent,"A tremendously well designed platform for gaming. I do wish it had more educational abilities so I could blend both education and gaming for my nephew. But given its design intentions, it met all of them spectacularly well! Truly an amazing achievement. Would be nice if it were less expensive.",5.0,positive
"January 13, 2020",Great!,"My son loved it! I played with it so much, I bought a second one for myself lol.",5.0,positive
"January 13, 2020",It’s worth the high cost,Loved by gamer!!!  Portable,5.0,positive
"January 13, 2020",Grandsons love it.,It’s not cheap but it served well as the sole present for my grandsons ages 5 and 7.  It also promotes them working together instead of arguing.  All in all a good gift.,5.0,positive
"January 13, 2020",Great,At first time it didn’t work and I returned and ask for a replace but now it works really great mi daughter love it,5.0,positive
"January 12, 2020",Muy recomendable,Muy bueno Gracias,5.0,positive
